vendor,model,category,end_of_sale,end_of_support,end_of_life,recommended_replacement,advisory_url
Cisco,Catalyst 2960X-24T,Switch,,,,,
Cisco,Catalyst 2960X-24T-E,Switch,,,,,
Cisco,Catalyst 2960X-24T-L,Switch,,,,,
Cisco,Catalyst 2960X-24P,Switch,,,,,
Cisco,Catalyst 2960X-24P-E,Switch,,,,,
Cisco,Catalyst 2960X-24P-L,Switch,,,,,
Cisco,Catalyst 2960X-48T,Switch,,,,,
Cisco,Catalyst 2960X-48T-E,Switch,,,,,
Cisco,Catalyst 2960X-48T-L,Switch,,,,,
Cisco,Catalyst 2960X-48P,Switch,,,,,
Cisco,Catalyst 2960X-48P-E,Switch,,,,,
Cisco,Catalyst 2960X-48P-L,Switch,,,,,
Cisco,Catalyst 2960S-24T,Switch,,,,,
Cisco,Catalyst 2960S-24T-E,Switch,,,,,
Cisco,Catalyst 2960S-24T-L,Switch,,,,,
Cisco,Catalyst 2960S-24P,Switch,,,,,
Cisco,Catalyst 2960S-24P-E,Switch,,,,,
Cisco,Catalyst 2960S-24P-L,Switch,,,,,
Cisco,Catalyst 2960S-48T,Switch,,,,,
Cisco,Catalyst 2960S-48T-E,Switch,,,,,
Cisco,Catalyst 2960S-48T-L,Switch,,,,,
Cisco,Catalyst 2960S-48P,Switch,,,,,
Cisco,Catalyst 2960S-48P-E,Switch,,,,,
Cisco,Catalyst 2960S-48P-L,Switch,,,,,
Cisco,Catalyst 2960XR-24T,Switch,,,,,
Cisco,Catalyst 2960XR-24T-E,Switch,,,,,
Cisco,Catalyst 2960XR-24T-L,Switch,,,,,
Cisco,Catalyst 2960XR-24P,Switch,,,,,
Cisco,Catalyst 2960XR-24P-E,Switch,,,,,
Cisco,Catalyst 2960XR-24P-L,Switch,,,,,
Cisco,Catalyst 2960XR-48T,Switch,,,,,
Cisco,Catalyst 2960XR-48T-E,Switch,,,,,
Cisco,Catalyst 2960XR-48T-L,Switch,,,,,
Cisco,Catalyst 2960XR-48P,Switch,,,,,
Cisco,Catalyst 2960XR-48P-E,Switch,,,,,
Cisco,Catalyst 2960XR-48P-L,Switch,,,,,
Cisco,Catalyst 3650-24T,Switch,,,,,
Cisco,Catalyst 3650-24T-E,Switch,,,,,
Cisco,Catalyst 3650-24T-L,Switch,,,,,
Cisco,Catalyst 3650-24P,Switch,,,,,
Cisco,Catalyst 3650-24P-E,Switch,,,,,
Cisco,Catalyst 3650-24P-L,Switch,,,,,
Cisco,Catalyst 3650-48T,Switch,,,,,
Cisco,Catalyst 3650-48T-E,Switch,,,,,
Cisco,Catalyst 3650-48T-L,Switch,,,,,
Cisco,Catalyst 3650-48P,Switch,,,,,
Cisco,Catalyst 3650-48P-E,Switch,,,,,
Cisco,Catalyst 3650-48P-L,Switch,,,,,
Cisco,Catalyst 3850-24T,Switch,,,,,
Cisco,Catalyst 3850-24T-E,Switch,,,,,
Cisco,Catalyst 3850-24T-L,Switch,,,,,
Cisco,Catalyst 3850-24P,Switch,,,,,
Cisco,Catalyst 3850-24P-E,Switch,,,,,
Cisco,Catalyst 3850-24P-L,Switch,,,,,
Cisco,Catalyst 3850-48T,Switch,,,,,
Cisco,Catalyst 3850-48T-E,Switch,,,,,
Cisco,Catalyst 3850-48T-L,Switch,,,,,
Cisco,Catalyst 3850-48P,Switch,,,,,
Cisco,Catalyst 3850-48P-E,Switch,,,,,
Cisco,Catalyst 3850-48P-L,Switch,,,,,
Cisco,Catalyst 9200-24T,Switch,,,,,
Cisco,Catalyst 9200-24T-E,Switch,,,,,
Cisco,Catalyst 9200-24T-L,Switch,,,,,
Cisco,Catalyst 9200-24P,Switch,,,,,
Cisco,Catalyst 9200-24P-E,Switch,,,,,
Cisco,Catalyst 9200-24P-L,Switch,,,,,
Cisco,Catalyst 9200-48T,Switch,,,,,
Cisco,Catalyst 9200-48T-E,Switch,,,,,
Cisco,Catalyst 9200-48T-L,Switch,,,,,
Cisco,Catalyst 9200-48P,Switch,,,,,
Cisco,Catalyst 9200-48P-E,Switch,,,,,
Cisco,Catalyst 9200-48P-L,Switch,,,,,
Cisco,Catalyst 9200L-24T,Switch,,,,,
Cisco,Catalyst 9200L-24T-E,Switch,,,,,
Cisco,Catalyst 9200L-24T-L,Switch,,,,,
Cisco,Catalyst 9200L-24P,Switch,,,,,
Cisco,Catalyst 9200L-24P-E,Switch,,,,,
Cisco,Catalyst 9200L-24P-L,Switch,,,,,
Cisco,Catalyst 9200L-48T,Switch,,,,,
Cisco,Catalyst 9200L-48T-E,Switch,,,,,
Cisco,Catalyst 9200L-48T-L,Switch,,,,,
Cisco,Catalyst 9200L-48P,Switch,,,,,
Cisco,Catalyst 9200L-48P-E,Switch,,,,,
Cisco,Catalyst 9200L-48P-L,Switch,,,,,
Cisco,Catalyst 9300-24T,Switch,,,,,
Cisco,Catalyst 9300-24T-E,Switch,,,,,
Cisco,Catalyst 9300-24T-L,Switch,,,,,
Cisco,Catalyst 9300-24P,Switch,,,,,
Cisco,Catalyst 9300-24P-E,Switch,,,,,
Cisco,Catalyst 9300-24P-L,Switch,,,,,
Cisco,Catalyst 9300-48T,Switch,,,,,
Cisco,Catalyst 9300-48T-E,Switch,,,,,
Cisco,Catalyst 9300-48T-L,Switch,,,,,
Cisco,Catalyst 9300-48P,Switch,,,,,
Cisco,Catalyst 9300-48P-E,Switch,,,,,
Cisco,Catalyst 9300-48P-L,Switch,,,,,
Cisco,Catalyst 9400-24T,Switch,,,,,
Cisco,Catalyst 9400-24T-E,Switch,,,,,
Cisco,Catalyst 9400-24T-L,Switch,,,,,
Cisco,Catalyst 9400-24P,Switch,,,,,
Cisco,Catalyst 9400-24P-E,Switch,,,,,
Cisco,Catalyst 9400-24P-L,Switch,,,,,
Cisco,Catalyst 9400-48T,Switch,,,,,
Cisco,Catalyst 9400-48T-E,Switch,,,,,
Cisco,Catalyst 9400-48T-L,Switch,,,,,
Cisco,Catalyst 9400-48P,Switch,,,,,
Cisco,Catalyst 9400-48P-E,Switch,,,,,
Cisco,Catalyst 9400-48P-L,Switch,,,,,
Cisco,Catalyst 9500-24T,Switch,,,,,
Cisco,Catalyst 9500-24T-E,Switch,,,,,
Cisco,Catalyst 9500-24T-L,Switch,,,,,
Cisco,Catalyst 9500-24P,Switch,,,,,
Cisco,Catalyst 9500-24P-E,Switch,,,,,
Cisco,Catalyst 9500-24P-L,Switch,,,,,
Cisco,Catalyst 9500-48T,Switch,,,,,
Cisco,Catalyst 9500-48T-E,Switch,,,,,
Cisco,Catalyst 9500-48T-L,Switch,,,,,
Cisco,Catalyst 9500-48P,Switch,,,,,
Cisco,Catalyst 9500-48P-E,Switch,,,,,
Cisco,Catalyst 9500-48P-L,Switch,,,,,
Cisco,Nexus 93180YC-EX,Switch,,,,,
Cisco,Nexus 93180YC-FX,Switch,,,,,
Cisco,Nexus 93240YC-FX2,Switch,,,,,
Cisco,Nexus 9348GC-FXP,Switch,,,,,
Cisco,Nexus 9364C,Switch,,,,,
Cisco,ISR 4321,Router,,,,,
Cisco,ISR 4331,Router,,,,,
Cisco,ISR 4351,Router,,,,,
Cisco,ISR 4431,Router,,,,,
Cisco,ISR 4451,Router,,,,,
Cisco,Catalyst C8300-1N1S-4T2X,Router,,,,,
Cisco,Catalyst C8300-2N2S-6T,Router,,,,,
Cisco,Catalyst C8200-1N-4T,Router,,,,,
Cisco,ASR 1001-X,Router,,,,,
Cisco,ASR 1002-X,Router,,,,,
Cisco,ASR 1004,Router,,,,,
Cisco,ASR 1006,Router,,,,,
Cisco,ASR 920-12SZ-IM,Router,,,,,
Cisco,ASA 5506-X,Firewall,,,,,
Cisco,ASA 5508-X,Firewall,,,,,
Cisco,ASA 5516-X,Firewall,,,,,
Cisco,ASA 5525-X,Firewall,,,,,
Cisco,ASA 5545-X,Firewall,,,,,
Cisco,ASA 5555-X,Firewall,,,,,
Cisco,Firepower 1010,Firewall,,,,,
Cisco,Firepower 1120,Firewall,,,,,
Cisco,Firepower 1140,Firewall,,,,,
Cisco,Firepower 2110,Firewall,,,,,
Cisco,Firepower 2120,Firewall,,,,,
Cisco,Firepower 2130,Firewall,,,,,
Cisco,Firepower 2140,Firewall,,,,,
Cisco,Firepower 4110,Firewall,,,,,
Cisco,Firepower 4120,Firewall,,,,,
Cisco,Firepower 4140,Firewall,,,,,
Cisco,Firepower 4150,Firewall,,,,,
Dell,PowerEdge R620,Server,,,,,
Dell,PowerEdge R630,Server,,,,,
Dell,PowerEdge R640,Server,,,,,
Dell,PowerEdge R650,Server,,,,,
Dell,PowerEdge R720,Server,,,,,
Dell,PowerEdge R730,Server,,,,,
Dell,PowerEdge R740,Server,,,,,
Dell,PowerEdge R750,Server,,,,,
Dell,PowerEdge R7525,Server,,,,,
Dell,PowerEdge R7615,Server,,,,,
Dell,PowerEdge T330,Server,,,,,
Dell,PowerEdge T340,Server,,,,,
Dell,PowerEdge T440,Server,,,,,
Dell,PowerEdge T550,Server,,,,,
HPE,ProLiant DL360 Gen8,Server,,,,,
HPE,ProLiant DL380 Gen8,Server,,,,,
HPE,ProLiant DL385 Gen8,Server,,,,,
HPE,ProLiant ML350 Gen8,Server,,,,,
HPE,ProLiant DL360 Gen9,Server,,,,,
HPE,ProLiant DL380 Gen9,Server,,,,,
HPE,ProLiant DL385 Gen9,Server,,,,,
HPE,ProLiant ML350 Gen9,Server,,,,,
HPE,ProLiant DL360 Gen10,Server,,,,,
HPE,ProLiant DL380 Gen10,Server,,,,,
HPE,ProLiant DL385 Gen10,Server,,,,,
HPE,ProLiant ML350 Gen10,Server,,,,,
HPE,ProLiant DL360 Gen10 Plus,Server,,,,,
HPE,ProLiant DL380 Gen10 Plus,Server,,,,,
HPE,ProLiant DL385 Gen10 Plus,Server,,,,,
HPE,ProLiant ML350 Gen10 Plus,Server,,,,,
HPE,ProLiant DL360 Gen11,Server,,,,,
HPE,ProLiant DL380 Gen11,Server,,,,,
HPE,ProLiant DL385 Gen11,Server,,,,,
HPE,ProLiant ML350 Gen11,Server,,,,,
HPE,Aruba 2530 24G,Switch,,,,,
HPE,Aruba 2530 48G,Switch,,,,,
HPE,Aruba 2530 24G PoE+,Switch,,,,,
HPE,Aruba 2530 48G PoE+,Switch,,,,,
HPE,Aruba 2540 24G,Switch,,,,,
HPE,Aruba 2540 48G,Switch,,,,,
HPE,Aruba 2540 24G PoE+,Switch,,,,,
HPE,Aruba 2540 48G PoE+,Switch,,,,,
HPE,Aruba 2930F 24G,Switch,,,,,
HPE,Aruba 2930F 48G,Switch,,,,,
HPE,Aruba 2930F 24G PoE+,Switch,,,,,
HPE,Aruba 2930F 48G PoE+,Switch,,,,,
HPE,Aruba 2930M 24G,Switch,,,,,
HPE,Aruba 2930M 48G,Switch,,,,,
HPE,Aruba 2930M 24G PoE+,Switch,,,,,
HPE,Aruba 2930M 48G PoE+,Switch,,,,,
HPE,Aruba 3810M 24G,Switch,,,,,
HPE,Aruba 3810M 48G,Switch,,,,,
HPE,Aruba 3810M 24G PoE+,Switch,,,,,
HPE,Aruba 3810M 48G PoE+,Switch,,,,,
HPE,Aruba 5406R 24G,Switch,,,,,
HPE,Aruba 5406R 48G,Switch,,,,,
HPE,Aruba 5406R 24G PoE+,Switch,,,,,
HPE,Aruba 5406R 48G PoE+,Switch,,,,,
HPE,Aruba 8320 24G,Switch,,,,,
HPE,Aruba 8320 48G,Switch,,,,,
HPE,Aruba 8320 24G PoE+,Switch,,,,,
HPE,Aruba 8320 48G PoE+,Switch,,,,,
HPE,Aruba 8400 24G,Switch,,,,,
HPE,Aruba 8400 48G,Switch,,,,,
HPE,Aruba 8400 24G PoE+,Switch,,,,,
HPE,Aruba 8400 48G PoE+,Switch,,,,,
Juniper,EX2200-24T,Switch,,,,,
Juniper,EX2200-24P,Switch,,,,,
Juniper,EX2200-48T,Switch,,,,,
Juniper,EX2200-48P,Switch,,,,,
Juniper,EX2300-24T,Switch,,,,,
Juniper,EX2300-24P,Switch,,,,,
Juniper,EX2300-48T,Switch,,,,,
Juniper,EX2300-48P,Switch,,,,,
Juniper,EX3300-24T,Switch,,,,,
Juniper,EX3300-24P,Switch,,,,,
Juniper,EX3300-48T,Switch,,,,,
Juniper,EX3300-48P,Switch,,,,,
Juniper,EX3400-24T,Switch,,,,,
Juniper,EX3400-24P,Switch,,,,,
Juniper,EX3400-48T,Switch,,,,,
Juniper,EX3400-48P,Switch,,,,,
Juniper,EX4300-24T,Switch,,,,,
Juniper,EX4300-24P,Switch,,,,,
Juniper,EX4300-48T,Switch,,,,,
Juniper,EX4300-48P,Switch,,,,,
Juniper,EX4600-24T,Switch,,,,,
Juniper,EX4600-24P,Switch,,,,,
Juniper,EX4600-48T,Switch,,,,,
Juniper,EX4600-48P,Switch,,,,,
Juniper,EX4650-24T,Switch,,,,,
Juniper,EX4650-24P,Switch,,,,,
Juniper,EX4650-48T,Switch,,,,,
Juniper,EX4650-48P,Switch,,,,,
Juniper,SRX220,Firewall,,,,,
Juniper,SRX300,Firewall,,,,,
Juniper,SRX320,Firewall,,,,,
Juniper,SRX340,Firewall,,,,,
Juniper,SRX345,Firewall,,,,,
Juniper,SRX550,Firewall,,,,,
Juniper,SRX1500,Firewall,,,,,
Fortinet,FortiGate 40D,Firewall,,,,,
Fortinet,FortiGate 40E,Firewall,,,,,
Fortinet,FortiGate 40F,Firewall,,,,,
Fortinet,FortiGate 40G,Firewall,,,,,
Fortinet,FortiGate 60D,Firewall,,,,,
Fortinet,FortiGate 60E,Firewall,,,,,
Fortinet,FortiGate 60F,Firewall,,,,,
Fortinet,FortiGate 60G,Firewall,,,,,
Fortinet,FortiGate 80D,Firewall,,,,,
Fortinet,FortiGate 80E,Firewall,,,,,
Fortinet,FortiGate 80F,Firewall,,,,,
Fortinet,FortiGate 80G,Firewall,,,,,
Fortinet,FortiGate 90D,Firewall,,,,,
Fortinet,FortiGate 90E,Firewall,,,,,
Fortinet,FortiGate 90F,Firewall,,,,,
Fortinet,FortiGate 90G,Firewall,,,,,
Fortinet,FortiGate 100D,Firewall,,,,,
Fortinet,FortiGate 100E,Firewall,,,,,
Fortinet,FortiGate 100F,Firewall,,,,,
Fortinet,FortiGate 100G,Firewall,,,,,
Fortinet,FortiGate 200D,Firewall,,,,,
Fortinet,FortiGate 200E,Firewall,,,,,
Fortinet,FortiGate 200F,Firewall,,,,,
Fortinet,FortiGate 200G,Firewall,,,,,
Fortinet,FortiGate 300D,Firewall,,,,,
Fortinet,FortiGate 300E,Firewall,,,,,
Fortinet,FortiGate 300F,Firewall,,,,,
Fortinet,FortiGate 300G,Firewall,,,,,
Fortinet,FortiGate 500D,Firewall,,,,,
Fortinet,FortiGate 500E,Firewall,,,,,
Fortinet,FortiGate 500F,Firewall,,,,,
Fortinet,FortiGate 500G,Firewall,,,,,
Fortinet,FortiGate 1000D,Firewall,,,,,
Fortinet,FortiGate 1000E,Firewall,,,,,
Fortinet,FortiGate 1000F,Firewall,,,,,
Fortinet,FortiGate 1000G,Firewall,,,,,
Palo Alto Networks,PA-200,Firewall,,,,,
Palo Alto Networks,PA-220,Firewall,,,,,
Palo Alto Networks,PA-820,Firewall,,,,,
Palo Alto Networks,PA-850,Firewall,,,,,
Palo Alto Networks,PA-3020,Firewall,,,,,
Palo Alto Networks,PA-3050,Firewall,,,,,
Palo Alto Networks,PA-3220,Firewall,,,,,
Palo Alto Networks,PA-3250,Firewall,,,,,
Palo Alto Networks,PA-3410,Firewall,,,,,
Palo Alto Networks,PA-3430,Firewall,,,,,
Palo Alto Networks,PA-5220,Firewall,,,,,
Palo Alto Networks,PA-5250,Firewall,,,,,
Palo Alto Networks,PA-5450,Firewall,,,,,
Arista,DCS-7050S-32-F,Switch,,,,,
Arista,DCS-7050S-32-R,Switch,,,,,
Arista,DCS-7050S-48-F,Switch,,,,,
Arista,DCS-7050S-48-R,Switch,,,,,
Arista,DCS-7050S-64-F,Switch,,,,,
Arista,DCS-7050S-64-R,Switch,,,,,
Arista,DCS-7050X-32-F,Switch,,,,,
Arista,DCS-7050X-32-R,Switch,,,,,
Arista,DCS-7050X-48-F,Switch,,,,,
Arista,DCS-7050X-48-R,Switch,,,,,
Arista,DCS-7050X-64-F,Switch,,,,,
Arista,DCS-7050X-64-R,Switch,,,,,
Arista,DCS-7050X2-32-F,Switch,,,,,
Arista,DCS-7050X2-32-R,Switch,,,,,
Arista,DCS-7050X2-48-F,Switch,,,,,
Arista,DCS-7050X2-48-R,Switch,,,,,
Arista,DCS-7050X2-64-F,Switch,,,,,
