asset_tag,serial_number,site,business_service,owner_team,lifecycle_state,vendor,model,category,purchase_date,installed_date,warranty_end
NYC-HQ-SWI-0001,SRL-1295211F,NYC-HQ,Online Payments,Data Center Ops,Lab,Juniper,QFX5120-48Y,Switch,2018-03-24,2018-03-19,2023-03-24
FRA-DC3-SWI-0002,SRL-19E1924D,FRA-DC3,ERP Core,Cloud Ops,Decommission Planned,Cisco,Nexus 93180YC-FX3,Switch,2015-02-07,2015-03-16,2020-02-07
TOR-DC1-STO-0003,SRL-EC79FD21,TOR-DC1,Online Payments,Cloud Ops,Spare,NetApp,AFF A400,Storage,2021-04-15,2021-06-12,2025-04-15
SYD-DC1-FIR-0004,SRL-38D4A7FD,SYD-DC1,Customer Portal,Data Center Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2019-03-07,2019-04-02,2022-03-07
NYC-HQ-FIR-0005,SRL-7592E4FB,NYC-HQ,Email & Collaboration,Network Team,Lab,Palo Alto Networks,PA-3220,Firewall,2019-01-24,2019-03-04,2024-01-24
NYC-HQ-FIR-0006,SRL-11033BEF,NYC-HQ,Email & Collaboration,Network Team,Retiring,Fortinet,FortiGate 200F,Firewall,2020-10-07,2020-10-25,2023-10-07
LON-DC1-SER-0007,SRL-BDB261FD,LON-DC1,Security Monitoring,Network Team,Spare,Dell,PowerEdge R740,Server,2021-05-15,2021-06-13,2024-05-15
MEL-DR-ROU-0008,SRL-FC446B77,MEL-DR,IoT Gateway,Security Team,RMA Pending,Juniper,MX204,Router,2016-10-21,2016-11-22,2021-10-21
LON-DC1-ROU-0009,SRL-3405A2BF,LON-DC1,Customer Portal,Platform Engineering,Decommission Planned,Juniper,MX204,Router,2023-04-22,2023-05-15,2026-04-22
LON-DC1-ROU-0010,SRL-0B6BDAC4,LON-DC1,Online Payments,Infra Ops,Decommission Planned,Juniper,MX204,Router,2016-04-19,2016-05-11,2019-04-19
